Type,Titre,Lieu,Equipe,Président,Intervenant,Date,Année,Mots_clés,Résumé,Langue,Lien,Note,Auteurs,Famille,,,,
Conference Proceedings,Effective Tool for Reporting and Analyzing Medication Errors,"Institut Supérieur d'Informatique et des Techniques de Communication (Université de Sousse) (ISITCom), Ecole d'ingénieurs ISIS - Informatique et Systèmes d'Information pour la Santé, Centre Génie Industriel (CGI), Institut National de l'Environnement Industriel et des Risques (INERIS), Centre Hospitalier Intercommunal Castres-Mazamet (CHIC-CM)","copyright IEEE, KTK-4829, DOCA-22, Engineering Sciences [physics]Conference papers",,IEEE,04/12/2023,2023,"Medication Use Process, Medication errors, Reporting and analyzing tool, Experience Feedback Commitee model","The Medication Use Process (MUP) plays a vital role in ensuring the appropriate and safe use of medications. However, this process is exposed to many risks in particular medication errors. These later present a significant challenge, that may have negative consequences for patients. Implementing a medication error reporting and analyzing tool would facilitate an in-depth analysis of the causes of errors and enable the implementation of corrective measures. Additionally, a specific risk management model for medication management, which includes regular monitoring and preventive actions, is essential to prevent medication errors. By implementing these measures, We guarantee the attainment of secure and efficient management of MUP, resulting in better therapeutic results and heightened patient safety. In this work, we propose a tool that helps healthcare professionals create reports and analyze medication errors. This tool has been made and tested with healthcare professionals of the Intercommunal Hospital Center Castres-Mazamet (CHIC). This collaborative effort aimed not only to detect areas for improvement but also to instigate positive change in patient care. By leveraging our innovative tool, healthcare providers were empowered to proactively analyze and report medication errors.",English,https://imt-mines-albi.hal.science/hal-04531758,"INERIS, MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Bouallegue, Linda, Thabet, Rafika, Mazri, Chabane, Defossez, Adrien, Cleostrate, Marie-Hélène, Lamine, Elyes",Ingénierie santé et bien-être,,,,
Conference Proceedings,Industrial Services Characterization for Bidding Process,"Centre Génie Industriel (CGI), ESTIA INSTITUTE OF TECHNOLOGY","KTK-3949, DOCA-22, Engineering Sciences [physics]Conference papers",,,28/08/2019,2019,"Industrial services, Pricing and outsourcing, Bidding process, Offer modelling, Knowledge management in production, Decision-support for human operators","When responding to call for tenders, many bidding companies offer services. This paper focuses on how to model industrial services during the bidding process to be able to easily develop them. A product offer configuration model is presented, then a reflection about the extension of this model to service offers is conducted. A study of the literature about service definition is dealt and services characteristics are identified. Their impact on the product offer model is analyzed and new characteristics are introduced. This work makes possible to propose a typology to adapt the product offer model to services.",English,https://hal.science/hal-02317915,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, ANR, INSTITUT-MINES-TELECOM","Guillon, Delphine, Villeneuve, Eric, Merlo, Christophe, Vareilles, Élise, Aldanondo, Michel",Industrie du futur responsable,,,,
Conference Proceedings,"Isolation de bâtiments : un processus et un logiciel pour la conception de panneaux , projet ISOBIM","Centre Génie Industriel (CGI), ARMINES, Département d'Ingénierie des Systèmes Complexes (DISC)","KTK-4695, DOCA-00, Engineering Sciences [physics]Conference papers",,,14/06/2023,2023,"Building insulation renovation, Panel layout design, Aiding design system, Constraint-based problem, Rénovation et isolation de bâtiment, Conception et calepinage de panneaux, Système d’aide à la conception, Problème de satisfaction de contraintes","Dans le cadre de la rénovation énergétique de bâtiments, l'objectif de cette communication est de montrer comment la conception incluant le calepinage de panneaux d'isolation peut être fortement assisté par des outils logiciels. Ce travail a été réalisé dans le cadre d'un projet de recherche collaborative appliquée (ISOBIM). Les bâtiments considérés sont des petits collectifs de dix étages maximum construits entre 1945 et 1980. La solution technique d’isolation retenue exploite le principe de panneaux préfabriqués comprenant portes et fenêtres. Les résultats proposés rassemblent : (i) un processus de conception incluant un calepinage, (ii) différents modèles de façade supportant ce processus et (iii) un algorithme de conception ou calepinage des panneaux. Un exemple illustre les propositions et permet de les discuter.",French,https://imt-mines-albi.hal.science/hal-04153751,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM, ISAE-SUPAERO","Aldanondo, Michel, Lesbegueries, Julien, Christophe, Andrea, Vareilles, Élise, Lorca, Xavier",Industrie du futur responsable,,,,
Conference Proceedings,A Search Engine Optimization Recommender System,"Universidad de San Buenaventura Cali, Universidad santiago de cali, Centre Génie Industriel (CGI)","KTK-3945, DOCA-20, Engineering Sciences [physics]Conference papers",,,19/10/2019,2019,,"Search Engine Optimization reefers to the process of im- proving the position of a given website in a web search engine results. This is typically done by adding a set of parameters and metadata to the hypertext files of the website. As nowadays the majority of the web-content creators are non-experts, automation of the search en- gine optimization process becomes a necessity. On this regard, this paper presents a recommender system to improve search engine op- timization based on the site’s content and creator’s preferences. It exploits text analysis for labels and tags, artificial intelligence for deducing content intention and topics, and case-based reasoning for generating recommendations of parameters and metadata. Recom- mendations are given in natural language using a predefined set of sentences.",English,https://imt-mines-albi.hal.science/hal-02320874,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Hoyos, Christian D., Duque, Juan C., Barco, Andrés F., Vareilles, Élise",Souveraineté numérique et sobriété,,,,
Conference Paper,"Maturity, characterisation and decision support system: a multidisciplinary approach to select WAAM-CMT process parameters","ESTIA INSTITUTE OF TECHNOLOGY, Centre Génie Industriel (CGI), University of Wolverhampton, Laboratoire de l'intégration, du matériau au système (IMS)","DOCA-NS, Engineering Sciences [physics]Conference papers",,,20/03/2024,2024,,"The use of metal additive manufacturing (MAM) processes is still mainly confined to academic R&D platforms despite numerous proofs of manufacturability. Even today, too few manufacturers are taking the plunge and equipping themselves internally with these new technologies. The reasons could be economic, skills-related or simply a lack of knowledge about these technologies. In this work, a methodological framework in three steps is proposed to promote appropriation of MAM processes for and by industrials. This framework has been designed from the point of view of a manufacturer who needs to produce dedicated types of parts and who seeks to select (i) the relevant MAM process and (ii) the process parameters required to reach targeted mechanical and industrial performance. This study is limited to directed energy deposition (DED) processes. First, a model to assess the maturity of DED processes was developed, based on well-known existing models such as technology readiness levels and manufacturing readiness levels. Considering their limitations, a new and innovative model was proposed for DED processes, taking into account the technology-use case couple (TUCC). It has been applied to the maturity assessment of three DED technologies coupled with three use cases (new part manufacturing, part repair and added functions to parts) and three materials (stainless steel, titanium and aluminium). Once maturity has been assessed, this study focused on the manufacturing of new parts with wire arc additive manufacturing (WAAM). The geometry of the AM parts and the material used (316L) are based on an industrial case study. Nine parts were manufactured varying first-order process parameters (wire feed speed and torch speed). Energy consumption, manufacturing time and quantity of raw material used have been measured in-situ. Then, destructive tests were performed providing the mechanical behaviour of 316L WAAM parts. In-situ and post-process collected data enhanced the process knowledge. Based on that, a decision support system was finally developed (i) to find Pareto optimal solutions with a genetic algorithm and (ii) to choose between these alternatives using TAMARIN, a multi-criterion ranking algorithm linked to a dynamic user interface. The proposed methodological framework has been applied to one AM process, for one use case, within specific process parameter ranges. Further investigations to transfer it to other use cases, other AM processes and other parameters are therefore wide open.",English,https://hal.science/hal-04572301,"MINES-ALBI, CNRS, IMS-BORDEAUX, EMAC, CGI, IMS-BORDEAUX-FUSION, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Terrenoir, Laurent, Lartigau, Julie, Laguna Salvado, Laura, Arjunan, Arun, Merlo, Christophe",Industrie du futur responsable,,,,
Conference Proceedings,Bus Fleet Size Dimensioning In an International Airport Using Discrete Event Simulation,"Pontificia Universidad Católica del Perú =  Pontifical Catholic University of Peru (PUCP), Centre Génie Industriel (CGI)","KTK-4074, DOCA-22, Engineering Sciences [physics]Conference papers",,"“© 2020 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other uses, including reprinting/republishing this material for advertising or promotional purposes, collecting new collected works for resale or redistribution to servers or lists, or reuse of any copyrighted component of this work in other works.”",08/12/2019,2019,"Logic gates, Atmospheric modeling, Airports, Aircraft, Standards, Discrete event simulation, transportation","The continuous growth of airport operations generates continuous infrastructure expansion needs at international airports. In some cases, in the face of limitations in short-term expansions, the immediate solution is the creation of remote positions that allow a greater number of flights to be attended but which require the use of bus fleets to attend passenger boarding and disembarking operations. The sizing of the buses will allow to reduce the waiting times of flights below the level of service required by international standards. For this purpose, the development of a discrete event simulation model integrated to the transactional flight database is proposed. In the literature, although many references to simulation models have been found in airports, they have not been specifically focused in order to size and manage the bus fleet. Simulation experiments of this model under the management of scenarios allows to identify the bus fleet size required.",English,https://imt-mines-albi.hal.science/hal-02635262,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Carbajal Lopez, Eduardo, Marmier, François, Fontanili, Franck",Industrie du futur responsable,,,,
Conference Proceedings,Science Fiction: Past and Future Trends of Crisis Management,"Centre Génie Industriel (CGI), IMT École nationale supérieure des Mines d'Albi-Carmaux (IMT Mines Albi)","KTK-4091, DOCA-20, Engineering Sciences [physics]Conference papers",,,24/05/2020,2020,"Information, Decision, Action, Future, Trends, Anticipation, Framework","This paper is a position paper, presenting an original but very anticipative and mainly imaginative vision of the evolution of the crisis management domain. After analyzing the options to make the past evolutions of that domain somehow explainable (mainly by analyzing the data of all the articles of the last fifteen editions of the ISCRAM conference), the paper aims at providing a framework to assess and evaluate the maturity of the domain of crisis management. Moreover, this framework is also used to tentatively infer some future evolutions and some directions that could be relevant, dangerous, tricky or of great benefit for the crisis management domain. These future trends are mainly based on the current maturity of crisis management (according to the proposed framework) and current or future influential practices, technologies or threats. It will be necessary to wait for fifteen years to see if these bets should be considered as accurate.",English,https://telecom-paris.hal.science/hal-02892447,"MINES-ALBI, TELECOM-PARISTECH, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Benaben, Frederick, Benaben, Lysiane",Industrie du futur responsable,,,,
Conference Paper,The role of project managers experience in success of innovative complex project,"Centre Génie Industriel (CGI), Université de Strasbourg (UNISTRA), Maastricht University [Maastricht]","DOCA-NS, Engineering Sciences [physics]Conference papers",,,07/07/2022,2022,"Project success, complexity, partnership, project managers, experience","The most appealing concept in the project management literature is ``success''. However,achieving this success in projects comes with many challenges. Particularly in innovative complexprojects managed with strategic alliances. Because in addition to the challenges and inherentuncertainties of the project, the risk of non-cooperation between the partners is inevitable. Moreover,work experience is a key noticeable productivity characteristic in project management. The purpose ofthis research is to take a deeper look into the success of complex projects, focusing on the role ofproject managers’ experience in their opinion on some of the factors influencing the success ofcomplex projects. A standard survey is designed and used to gather data from European projectmanagers involved in complex projects with more than one partner. Then, the gathered data is used toperform Spearman’s correlation coefficient analysis to investigate, first, the role of project managers'work experience on the project success, and second, the role of project managers' work experience ontheir perception of project success factors. Finally, we try to provide suggestions for less experiencedproject managers and decision-makers to increase the chance of success in strategic alliances.",English,https://imt-mines-albi.hal.science/hal-03727775,"MINES-ALBI, UNIV-STRASBG, EMAC, CGI, SITE-ALSACE, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Vaez-Alaei, Maliheh, Deniaud, Ioana, Marmier, François, Cowan, Robin, Gourc, Didier",Industrie du futur responsable,,,,
Conference Proceedings,Physical Internet inspired Atomic Modeling for Supply Chain Risk Management,"Centre Génie Industriel (CGI), School of Industrial and Systems Engineering [Georgia Tech] (ISyE), SCALIAN","KTK-4370, DOCA-00, Computer Science [cs]/Modeling and Simulation, Engineering Sciences [physics]Conference papers",,,14/06/2021,2021,"system modeling and physical internet, SCOR, performance measurement, risk management, supply chain management","At a time when instability is the norm, as the global health situation confirms, managers have to deal with increasingly complex situations. Managers expect to have decision support tools that allow them to manage this instability in order to suffer as little as possible. Simulation is one of the main tools to meet this demand. This paper presents the work in progress for the development of a modular supply chain simulation model inspired by the Physical Internet (PI). Its modules are developed from the processes defined in the Supply Chain Operations Reference (SCOR) tool. This simulation model will generate the inputs to apply Physics Of Decision (POD) approach, an innovative approach to risk management approach that draws on analogies with physical forces. This approach is dedicated to steering the performance trajectory of systems evolving in an unstable environment.",English,https://hal.science/hal-03395217,"MINES-ALBI, EMAC, CGI, TDS-MACS, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Cerabona, Thibaut, Benaben, Frederick, Gitto, Jean-Philippe, Lauras, Matthieu, Montreuil, Benoit",Souveraineté numérique et sobriété,,,,
Conference Proceedings,Vers une approche globale pour soutenir le processus Adaptive Sales and Operations Planning,"Centre Génie Industriel (CGI), AGILEA S.A.S.","KTK-4325, DOCA-00, Engineering Sciences [physics]Conference papers",,,05/05/2021,2021,"Decision Support System, Risk Management, scenario planning, S&OP, AS&OP, DDMRP, S&OP, AS&OP, DDMRP, système d'aide à la décision, gestion des risques, planification scénarisée","Dans un contexte de plus en plus incertain, les entreprises sont toujours à la recherche de l’optimisation de la planification de leur supply chain. Depuis 2011, des auteurs proposent une nouvelle approche appelée DDAE/DDMRP censée permettre de réagir de manière agile dans un contexte complexe et volatile, le graal est-il là ? Cette approche rencontre un succès grandissant au niveau des industriels et des scientifiques mais ce système de planification hiérarchisée multi-niveaux (opérationnel, tactique, stratégique) comporte de nombreuses zones d’ombres qui restent à éclaircir. Cette étude se porte sur le niveau stratégique de ce modèle : le processus AS&OP. A date, AS&OP n’étant pas suffisamment précisément défini et outillé, nous proposons de développer un système d’aide à la décision dédié. Cette étude apporte deux contributions distinctes : une modélisation du processus métier AS&OP ainsi qu’une approche logicielle associée permettant de soutenir l’aide à la décision. Nous étudions le potentiel de l’utilisation des arbres de décisions et de la gestion des risques pour développer une planification scénarisée dans cette optique. Cette plateforme d’expérimentation appelé AS&OP-DSS est testée sur un cas illustratif. L’article conclut sur la faisabilité de cette approche et ouvre sur un ensemble de perspectives de recherche.",French,https://imt-mines-albi.hal.science/hal-03332004,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Vidal, Jean-Baptiste, Oger, Raphaël, Lauras, Matthieu, Lamothe, Jacques, Miclo, Romain",Industrie du futur responsable,,,,
Conference Proceedings,A DDMRP implementation user feedbacks and stakes analysis,"École Polytechnique de Montréal (EPM), Centre Génie Industriel (CGI), Pierre Fabre Dermo-Cosmétique [Les Cauquillous, Lavaur]","KTK-4135, DOCA-20, Engineering Sciences [physics]Conference papers",,,22/04/2020,2020,"DDMRP, feedback, stakes, analysis, industrial case","Since its appearance, Demand Driven Material Requirements Planning (DDMRP) is under the spotlights in both scientific field and industrial deployment. Although some companies are now sharing their results after their DDMRP implementations, none or very few have collaborated with scholars to scientifically study the important issues and stakes of the method within their specific environment. This paper presents a methodology to answer the real industrial questions raised on deploying DDMRP. A case study from a dermo-cosmetic industry illustrates the method. The main issues that must be answered first are developed. They should be the start of different research subjects in order to unite the industrial problems with the scientific approaches and tools.",English,https://imt-mines-albi.hal.science/hal-02940566,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Dessevre, Guillaume, Lamothe, Jacques, Pomponne, Vincent, Baptiste, Pierre, Lauras, Matthieu, Pellerin, Robert","Énergie, économie circulaire et société",,,,
Conference Proceedings,Toward Assessing Physical Internet Potential Benefits for Humanitarian Supply Chains,"Centre Génie Industriel (CGI), Georgia Institute of Technology [Atlanta]","KTK-4138, DOCA-20, Engineering Sciences [physics]Conference papers",,,22/04/2020,2020,"Physical Internet, Humanitarian, Supply Chain, Hyperconnectivity, Performance assessment methodology, Experiment","In the view of the issues faced by humanitarian organizations to deliver beneficiaries in an effective, efficient and sustainable manner, the Physical Internet (PI) approach offers potential as an appropriate solution. Indeed, its high resilience, adaptability, efficiency and sustainability capabilities are attractive yet need to be proved as relevant and suitable for the humanitarian sector. Based on this consideration, it is judicious to assess the potential benefits of introducing Physical Internet concepts to humanitarian organizations and demonstrate the impact on performance. In this perspective, this paper proposes a methodology to organize such an investigation as well as some first experimental illustrations to present the approach and to highlight early positive insights.",English,https://imt-mines-albi.hal.science/hal-02940619,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Grest, Manon, Montreuil, Benoit, Lauras, Matthieu",Souveraineté numérique et sobriété,,,,
Conference Paper,BL.Optim: a configurable optimizer towards decision-making support for various scheduling and routing problem,"Berger-Levrault, Centre Génie Industriel (CGI)","DOCA-NS, Mathematics [math]/Optimization and Control [math.OC], Computer Science [cs]/Artificial Intelligence [cs.AI]Conference papers",,,03/07/2022,2022,"Home Meal Delivery Problem, Preventive Maintenance Scheduling and Routing Problem, Ant Colony Optimization, Operations Research, Constraint Satisfaction Problem, Home Health Care Routing and Scheduling Problem","Nowadays, there is a wide demand from many organizations to regularly route and schedule staff and goods to satisfy specific objectives. Scheduling and routing issues often require consideration of various businesses constraints under different industrial contexts, thereby ensuring the optimal use of resources. Decision-makers need customizable optimizers to specify business-oriented constraints and define their target planning generation needs. In our work, we present ""BL.Optim"", an optimizer with two-stage model-based architecture, which aims at capturing routing and scheduling requirement for a wide category of Constraint Satisfaction Problems (CSP). We demonstrated our approach on Home Health Care Routing and Scheduling Problems (HHCRSP), Home Meal Delivery Problems and Preventive Maintenance Scheduling and Routing Problems. The captured requirements are customizable by activating the necessary constraints facing the different realistic use cases. A series of CSP-based activable soft constraints and non-violated hard constraints are embedded in BL.Optim. To meet industrial requirements in solving the real-world cases with significant dimension, we opted for the Ant Colony Optimization algorithm for solution generation. Solutions generated by BL.Optim for HHCRSP are competitive against the manual scheduling result, with less 28% less assigned caregivers to perform required 142 services per day by respecting all the specified constraints.",English,https://imt-mines-albi.hal.science/hal-03750397,"MINES-ALBI, EMAC, CGI, TDS-MACS, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Zhang, Liwen, Mouysset, Florent, Derras, Mustapha, Bortolaso, Christophe",Souveraineté numérique et sobriété,,,,
Conference Proceedings,Vers une approche ontologique de l'évaluation de la continuité des activités,"Centre Génie Industriel (CGI), Agenzia Nazionale per le nuove Tecnologie, l’energia e lo sviluppo economico sostenibile = Italian National Agency for New Technologies, Energy and Sustainable Economic Development (ENEA)","KTK-4518, DOCA-22, Computer Science [cs]/Other [cs.OH], Engineering Sciences [physics]Conference papers",,Springer International Publishing,22/11/2022,2022,"Business continuity, Ontology design, Framework design, Risk management","Business Continuity (BC) methods use threat identification, continuous improvement, and recommendations to ensure running the organization's main activities in case of disruptive events. Information Systems, on the other hand, are increasingly based on service-based structures and are seen as fundamental instruments to guarantee business continuity. The paper presents the ontological foundations for representing business continuity semantics, which are based on a widely adopted information systems research framework. The overall aim of this work is to provide BC with formal semantics and business people with an emerging informal BC modeling method.",English,https://imt-mines-albi.hal.science/hal-03865563,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Ben Amara, Oussema, de Nicola, Antonio, Kamissoko, Daouda, Benaben, Frederick",Souveraineté numérique et sobriété,,,,
Conference Proceedings,Toward Physical Internet-Enabled Supply Chain and Logistics Networks in Developing Countries,"Centre Génie Industriel (CGI), Institute of Technology of Cambodia [Cambodge] (KHM)","Part 10: Collaboration in Supply Chain, KTK-4187, DOCA-22, Computer Science [cs], Engineering Sciences [physics]Conference papers",Angel Ortiz,Springer International Publishing,23/11/2020,2020,"Physical Internet, Supply chain, Logistics, Networks, Developing countries, Cambodia","Developing countries have numerous challenges to manage in terms of supply chain and logistics networks such as safety, corruption, pollution, congestion, old and/or unsuitable vehicles, long lead times, economy, wastes and of course poor infrastructures and so on. While developed countries have started to change their mindset and toolboxes for managing their material flows all along their logistics networks, it is not yet the case for developing countries. This research work intends to study potentials benefit for these countries if there are drastic changes of the way physical of material flows are managed. In such a context, Physical Internet paradigm is considered as an interesting avenue for improvement. The objective of this paper is to draft an options that would be necessary to assess and to design the associated research methodology. Insights regarding an ongoing field-oriented research work in Cambodia are developed to highlight the potential.",English,https://imt-mines-albi.hal.science/hal-03024969,"MINES-ALBI, EMAC, CGI, IFIP, IFIP-AICT, IFIP-TC, IFIP-TC5, IFIP-PROVE, INSTITUTS-TELECOM, IFIP-AICT-598, INSTITUT-MINES-TELECOM","Ban, Sam, Lauras, Matthieu, Srang, Sarot",Industrie du futur responsable,,,,
Conference Proceedings,Market Potential Estimation Framework for Circular Economy,"Centre Génie Industriel (CGI), Georgia Institute of Technology [Atlanta]","KTK-4713, DOCA-00, Engineering Sciences [physics]Conference papers",,,09/07/2023,2023,"End-of-life Management and the Circular Economy, Social and Environmental Sustainability, Supply Chains and Networks, Forecasting, Decision Support Systems","Circular economy brings environmental, economical and social benefits to the society.New business initiatives are encouraged to accelerate the shifting towards a circular economy. However, the scaling of new business in the circular economy is still under-researched. This study is focused on the demand aspect of business scaling, and aims to propose a holistic framework to estimate the market potential for a new business in the circular economy. The framework is composed of sets and filters, where demand forecast is deduced from the statistics of existing products and secondary market research. Quantitative and qualitative methods are both used in the framework, where clustering analysis and multi-criteria decision-making techniques are combined with expert judgement. A case study on electric retrofit of vehicles is proposed to demonstrate the application of the framework",English,https://imt-mines-albi.hal.science/hal-04302245,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Wu, Ziqing, Oger, Raphaël, Lauras, Matthieu, Montreuil, Benoit, Faugère, Louis, Libeau, Aymeric","Énergie, économie circulaire et société",,,,
Conference Proceedings,Strategic Supply Chain Planning and Risk Management: Experiment of a Decision Support System Gathering Business Departments Around a Common Vision,"Centre Génie Industriel (CGI), Georgia Institute of Technology [Atlanta]","The authors acknowledge IMT Mines Albi’s Pierre Fabre Chair in Agile Supply Chain and Georgia Tech’s Coca-Cola Chair in Material Handling and Distribution for the funding of this research., “© © 2019 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other uses, in any current or future media, including reprinting/republishing this material for advertising or promotional purposes, creating new collective works, for resale or redistribution to servers or lists, or reuse of any copyrighted component of this work in other works.”, KTK-3964, DOCA-22, Computer Science [cs]/Modeling and Simulation, Computer Science [cs]/Computational Engineering, Finance, and Science [cs.CE], Humanities and Social Sciences/Library and information sciences, Humanities and Social Sciences/Business administration, Quantitative Finance [q-fin]/Risk Management [q-fin.RM]Conference papers",,,25/09/2019,2019,"Decision Support Systems, Supply Chain Risk Management, Strategic Supply Chain Planning, Decision-Making Process, Business Visions Unification","Strategic supply chain planning and supply chain risk management are two fields of supply chain management that are inseparable nowadays. The ability to consider risks is essential to maintain business performance. In addition, integrating the different business departments’ visions in a common business vision is necessary to properly plan the future of a company. However, it is still a challenge for companies to design and maintain a decision-making process supporting strategic supply chain decisions that integrates risk management and unify business vision across departments. This paper relates an industrial experiment as an attempt to meet this challenge. This experiment was asked by a pharmaceutical company with the aim of supporting strategic decisions regarding its network of suppliers. It led to a decision-making process including the use of a computerized information system composed of a software for computations and a business intelligence software to easily make decisions. This process was put in practice on a pilot use case with two years old data. It resulted in the identification of several decisions that could have been made if the process was in operation two years ago, which is considered as a first validation of the approach. Finally, limitations have been identified regarding the data collection, opening avenues for future research on an innovative approach combining supply chain hyperconnectivity and event-driven principles.",English,https://imt-mines-albi.hal.science/hal-02384806,"SHS, MINES-ALBI, AO-ECONOMIE, EMAC, CGI, TDS-MACS, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Oger, Raphaël, Lauras, Matthieu, Benaben, Frederick, Montreuil, Benoit",Souveraineté numérique et sobriété,,,,
Conference Paper,Conception d'un système d'aide à la décision pour concevoir des chaînes logistiques circulaires hyperconnectées,"Centre Génie Industriel (CGI), Georgia Institute of Technology [Atlanta]","DOCA-NS, Engineering Sciences [physics], Computer Science [cs], Engineering Sciences [physics], Statistics [stat], Quantitative Finance [q-fin], Mathematics [math], Nonlinear Sciences [physics], Physics [physics], Cognitive science, Environmental Sciences, Sciences of the Universe [physics], Life Sciences [q-bio], Humanities and Social SciencesConference papers",,,26/06/2024,2024,"système d'aide à la décision, conception de réseaux logistiques, chaîne logistique circulaire, internet physique",41914,French,https://hal.science/hal-04815525,"SHS, SDE, MINES-ALBI, EMAC, GIP-BE, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Ma, Zhuo, Wu, Ziqing, Oger, Raphaël, Lauras, Matthieu, Faugère, Louis, Montreuil, Benoit","Énergie, économie circulaire et société",,,,
Conference Paper,Systematic conservation planning in New Caledonia: supporting sustainable land-use policies with reserve selection models,"Botanique et Modélisation de l'Architecture des Plantes et des Végétations (UMR AMAP), Institut Agronomique Néo-Calédonien (IAC), Centre Génie Industriel (CGI)","BioFor, DOCA-NS, Life Sciences [q-bio]/Biodiversity/Systematics, Phylogenetics and taxonomy, Life Sciences [q-bio]/Ecology, environment/Ecosystems, Life Sciences [q-bio]/Vegetal Biology/Botanics, Environmental Sciences/Biodiversity and Ecology, Engineering Sciences [physics]Conference papers",,,08/07/2019,2019,"Conservation, Systematic conservation planning, New Caledonia","Habitat degradation, fragmentation, and destruction are today the leading causes of species extinction on Earth. A major challenge for environmental managers, hence, is to efficiently balance land usebetween economic development and conservation of natural habitats. In New Caledonia, the smallestbiodiversity hotspot in the world, finding this trade-off is tedious. In particular, the conservation ofits highly diverse forest ecosystems, distinguished by high rates of endemism, can be conflicting withmining activity, the major economic sector of New Caledonia. Managers are willing to study howto refine decisional processes through the use of systematic conservation planning and computationalsustainability. To this end, we considered the project ”Cote Oublíee” started in 2016 by the environ-mental managers of the South Province of New Caledonia. It aims at delineating a complex reservesystem (including about 1200 km2 of terrestrial and 950 km2 of marine reserve) in the southeast of NewCaledonia in an area with rich biodiversity and overlapping with different socioeconomic interests (suchas 238 mining concessions, private and cultural lands, and fisheries) as well as 135 km2of area to berestored. Our objective was to identify how the reserve could be efficiently delineated while respecting socio economic constraints. More precisely, we focused on the biodiversity representation as much ason the spatial configuration of the reserve. Additionally, we aimed at reducing fragmentation throughthe identification of areas suitable for ecological restoration. Relying on a constraint-based reserveselection model, we iteratively considered operational scenarios and produced maps providing the basisfor decision support. The model was then refined according to a feedback loop between managers andscientists. Through this iterative process, we could suggest a delineation of the reserve that maximizedthe representation of biodiversity features while satisfying managers constraints. We also highlightedkey areas for reducing fragmentation through ecological restoration. This real-world pilot study showedhow systematic conservation planning can provide the basis of a decision support framework for conservation, through reserve selection models. Beyond that, it showed how the iterative use of such aframework could help to reduce the gap that can sometimes exist between scientists and managers.",English,https://hal.umontpellier.fr/hal-02313739,"CIRAD, SDE, MINES-ALBI, CNRS, INRA, AMAP, EMAC, GIP-BE, CGI, AGROPOLIS, AGREENIUM, B3ESTE, UNIV-MONTPELLIER, INSTITUTS-TELECOM, INRAE, INRAEOCCITANIEMONTPELLIER, UM-2015-2021, TEST3-HALCNRS, TEST4-HALCNRS, TEST5-HALCNRS, INEE-CNRS, INSTITUT-MINES-TELECOM","Justeau-Allaire, Dimitri, Rink, N., Lorca, Xavier, Couture, E., Birnbaum, Philippe",Souveraineté numérique et sobriété,,,,
